"","p"
"1",0.0285307352777941
"2",0.00339156480774128
"3",0.00556716110686699
"4",0.00126486928104575
"5",0
"6",0.000444444444444444
"7",0.100943366927191
"8",0.0257497964453847
"9",0.000888888888888889
"10",0.000222222222222222
"11",0
"12",0.00142460317460317
"13",0.00402626262626263
"14",0.0034049062049062
"15",0
"16",0.00929133644133644
"17",0.000181818181818182
"18",0.00650328054298643
"19",0.00305
"20",0.0127888200035259
"21",0.00243529411764706
"22",2e-04
"23",0.00524848484848485
"24",0.338196521289168
"25",0.00275196078431373
"26",0.108699775714482
"27",0.00588482514217808
"28",0.000457516339869281
"29",0
"30",0.0613453061644238
"31",0.00357777777777778
"32",0.0314225307372366
"33",0.00681821315938963
"34",0.009879350061703
"35",0.00789444444444445
"36",0.00516425796425797
"37",0
"38",0.0499888315932433
"39",0.0322926772573831
"40",0.00731432178932179
"41",0.00479222999222999
"42",0.00305788655788656
"43",0.000444444444444444
"44",0.000444444444444444
"45",0.000844444444444444
"46",0.000644444444444444
"47",0.00798327391562686
"48",0.0386940895705601
"49",0.0056929292929293
"50",0
"51",0.0349004775839915
"52",0
"53",0.00373071895424837
"54",0.00265098039215686
"55",0
"56",0.00334949494949495
"57",0.00831401458019105
"58",0.000720634920634921
"59",0.00941981351981352
"60",0.00191919191919192
"61",0.00194871794871795
"62",0.000985858585858586
"63",0.00083943833943834
"64",0.00406792929292929
"65",0.00402101558572147
"66",4e-04
"67",0.000375
"68",0
"69",0
"70",0.000666666666666667
"71",0.000444444444444444
"72",0.0170381673881674
"73",0.000307692307692308
"74",0.00052991452991453
"75",0
"76",0
"77",0.000444444444444444
"78",0.0019
"79",0.000444444444444444
"80",0
"81",0.000444444444444444
"82",0.000324675324675325
"83",0.0143380702630703
"84",0.000117647058823529
"85",0
"86",0.00231515151515152
"87",0.0486588878441819
"88",0.0676278298498887
"89",0.599605146839744
"90",0
"91",0
"92",0.0159774052744641
"93",0.000404040404040404
"94",0.000666666666666667
"95",0
"96",0.0112969527204821
"97",0.0074636970872265
"98",0
"99",0.303465682709104
"100",0.000222222222222222
"101",0
"102",0
"103",0.00520895770895771
"104",0.00546495726495727
"105",0.000444444444444444
"106",0
"107",0.000376068376068376
"108",0.000644444444444444
"109",0.00769994058229352
"110",0.00742821067821068
"111",0.00154518814518815
"112",0.116412555255202
"113",0
"114",0.00519545454545455
"115",0.01327447356565
"116",0.00995811688311688
"117",0.031817633673516
"118",0.00638989898989899
"119",0
"120",0.0758678125795773
"121",0.00052991452991453
"122",0.00308547008547009
"123",0
"124",0
"125",0.00148809523809524
"126",0
"127",0.00503203463203463
"128",0.000375
"129",0.00267070707070707
"130",0.0140558681514564
"131",0.000181818181818182
"132",0.0518750475015181
"133",0.00136741036741037
"134",0.0179545059515648
"135",0
"136",0.0528402990370482
"137",0
"138",0.00287852147852148
"139",0.0111667577520519
"140",0
"141",0.000444444444444444
"142",0.0032040404040404
"143",0
"144",0.00238071895424837
"145",0
"146",0
"147",0.0149004911754912
"148",0.000808080808080808
"149",0.000866666666666667
"150",0.00104481792717087
"151",0
"152",0.971845199898141
"153",0.00366666666666667
"154",0.00803606116106116
"155",0.11547229633112
"156",0.00791845425816014
"157",0
"158",0.00388547008547009
"159",0.0148048595195654
"160",0
"161",0.00437171717171717
"162",0
"163",0
"164",0.00823262946204123
"165",0.00536767676767677
"166",0
"167",0.00585592903828198
"168",0.0317109302805897
"169",0.0504607599916423
"170",0.00844458841811783
"171",0.00175275835275835
"172",0.00312991452991453
"173",0
"174",0
"175",0
"176",0.014031652497829
"177",0.0136248875307699
"178",0.0293996806169407
"179",0.000882604323780794
"180",0.0408927879310232
"181",0.00990443804561452
"182",0
"183",0.0248029929221106
"184",0.0121952821688116
"185",0.0281248150542268
"186",0.000365079365079365
"187",0.00147474747474747
"188",0
"189",0.000539869281045752
"190",0.00449784382284382
"191",0.00739734317969612
"192",0.00373333333333333
"193",0.000222222222222222
"194",0.000266666666666667
"195",0
"196",0.00193333333333333
"197",0.00658931623931624
"198",0.00718792318792319
"199",0.00703018419489008
"200",0
"201",0
"202",0
"203",0.00214141414141414
"204",0.00195555555555556
"205",0.00183030303030303
